Order,Item,Aisle
1,134,9
1,40,9
1,61,2
1,83,5
1,9,3
1,51,3
1,148,5
1,123,2
1,7,8
2,76,5
2,112,3
3,75,4
3,23,5
3,12,8
3,141,6
4,74,8
4,42,4
5,37,3
5,93,9
5,103,7
5,50,9
5,90,7
5,47,8
5,21,7
5,110,8
6,25,8
6,79,3
6,119,7
6,134,9
7,115,7
7,143,4
7,54,4
7,69,3
7,94,1
7,30,8
7,2,7
8,109,8
8,105,4
8,98,2
8,52,4
9,109,8
9,23,5
10,90,7
11,93,9
11,117,7
11,109,8
11,50,9
11,73,7
12,76,5
12,130,6
12,128,2
12,68,8
12,104,8
12,114,8
12,88,6
12,90,7
13,124,7
13,115,7
13,123,2
13,22,7
13,139,5
14,104,8
14,44,9
14,107,5
14,145,4
14,17,1
14,79,3
15,84,3
16,19,3
16,102,3
16,96,6
16,73,7
16,48,2
16,62,3
17,79,3
17,25,8
17,143,4
18,57,8
19,108,9
19,50,9
20,5,4
20,101,7
20,52,4
20,87,8
20,148,5
20,49,6
20,134,9
20,145,4
21,13,6
21,149,5
21,10,1
21,145,4
21,94,1
21,102,3
22,44,9
22,41,6
22,31,4
22,89,6
22,43,6
22,8,5
23,131,2
23,90,7
23,23,5
23,102,3
23,113,8
23,148,5
23,16,6
23,38,4
23,114,8
24,116,3
24,114,8
24,45,8
24,91,4
24,109,8
24,88,6
24,144,7
24,132,3
